record_type,model,model_label,seed,episodes_seen,environment_interactions,safe_weighted_coverage,curve_source,q25,median,q75
seed,full,PPO+Pointer,44,480,7325,1,training_batch,,,
seed,full,PPO+Pointer,44,496,7597,1,training_batch,,,
seed,full,PPO+Pointer,44,512,7869,1,training_batch,,,
seed,full,PPO+Pointer,44,528,8141,1,training_batch,,,
seed,full,PPO+Pointer,44,544,8413,1,training_batch,,,
seed,full,PPO+Pointer,44,560,8665,0.943359375,training_batch,,,
seed,full,PPO+Pointer,44,576,8907,0.888671875,training_batch,,,
seed,full,PPO+Pointer,44,592,9179,1,training_batch,,,
seed,full,PPO+Pointer,44,608,9451,1,training_batch,,,
seed,full,PPO+Pointer,44,624,9723,1,training_batch,,,
seed,full,PPO+Pointer,44,640,9995,1,training_batch,,,
