model,training_seed,environment_interactions,mean_weighted_coverage
traditional_ppo,42,3114,0.2551020408
traditional_ppo,42,3200,0.291015625
traditional_ppo,42,3296,0.2421875
traditional_ppo,42,3397,0.2385204082
traditional_ppo,42,3482,0.2890625
traditional_ppo,42,3580,0.26875
traditional_ppo,42,3683,0.2308673469
traditional_ppo,42,3780,0.32421875
traditional_ppo,42,3881,0.2640625
traditional_ppo,42,3996,0.2678571429
traditional_ppo,42,4078,0.259765625
traditional_ppo,42,4177,0.2765625
traditional_ppo,42,4282,0.2346938776
traditional_ppo,42,4375,0.310546875
traditional_ppo,42,4468,0.2625
traditional_ppo,42,4563,0.2079081633
traditional_ppo,42,4662,0.310546875
traditional_ppo,42,4759,0.2515625
traditional_ppo,42,4870,0.2551020408
traditional_ppo,42,4958,0.275390625
traditional_ppo,42,5062,0.2671875
traditional_ppo,42,5159,0.2142857143
traditional_ppo,42,5253,0.314453125
traditional_ppo,42,5358,0.3
traditional_ppo,42,5464,0.2525510204
traditional_ppo,42,5554,0.291015625
traditional_ppo,42,5657,0.284375
traditional_ppo,42,5754,0.2244897959
traditional_ppo,42,5777,0.3359375
traditional_ppo,42,5872,0.2375
traditional_ppo,42,5977,0.2410714286
traditional_ppo,42,6059,0.251953125
traditional_ppo,42,6144,0.23125
traditional_ppo,42,6248,0.2283163265
traditional_ppo,42,6328,0.259765625
traditional_ppo,42,6423,0.259375
