episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
378.0,0.4349489795918367,,full,,,seed,44.0
394.0,0.431640625,,full,,,seed,44.0
410.0,0.4671875,,full,,,seed,44.0
426.0,0.4362244897959184,,full,,,seed,44.0
442.0,0.4375,,full,,,seed,44.0
458.0,0.3953124999999999,,full,,,seed,44.0
474.0,0.3903061224489795,,full,,,seed,44.0
490.0,0.416015625,,full,,,seed,44.0
500.0,0.4474999999999999,,full,,,seed,44.0
516.0,0.4323979591836734,,full,,,seed,44.0
532.0,0.408203125,,full,,,seed,44.0
548.0,0.4953125,,full,,,seed,44.0
564.0,0.4362244897959183,,full,,,seed,44.0
580.0,0.419921875,,full,,,seed,44.0
596.0,0.515625,,full,,,seed,44.0
612.0,0.461734693877551,,full,,,seed,44.0
628.0,0.43359375,,full,,,seed,44.0
644.0,0.4875,,full,,,seed,44.0
660.0,0.4438775510204081,,full,,,seed,44.0
676.0,0.458984375,,full,,,seed,44.0
692.0,0.4578125,,full,,,seed,44.0
708.0,0.4311224489795918,,full,,,seed,44.0
724.0,0.44140625,,full,,,seed,44.0
740.0,0.4921875,,full,,,seed,44.0
756.0,0.423469387755102,,full,,,seed,44.0
772.0,0.544921875,,full,,,seed,44.0
788.0,0.440625,,full,,,seed,44.0
804.0,0.4196428571428571,,full,,,seed,44.0
820.0,0.45703125,,full,,,seed,44.0
836.0,0.45625,,full,,,seed,44.0
852.0,0.4183673469387755,,full,,,seed,44.0
868.0,0.45703125,,full,,,seed,44.0
884.0,0.4874999999999999,,full,,,seed,44.0
900.0,0.4311224489795918,,full,,,seed,44.0
916.0,0.466796875,,full,,,seed,44.0
932.0,0.3640625,,full,,,seed,44.0
948.0,0.4145408163265306,,full,,,seed,44.0
964.0,0.50390625,,full,,,seed,44.0
980.0,0.4421874999999999,,full,,,seed,44.0
996.0,0.4719387755102041,,full,,,seed,44.0
1000.0,0.546875,,full,,,seed,44.0
1016.0,0.45625,,full,,,seed,44.0
1032.0,0.4426020408163265,,full,,,seed,44.0
1048.0,0.345703125,,full,,,seed,44.0
1064.0,0.4625,,full,,,seed,44.0
1080.0,0.3201530612244898,,full,,,seed,44.0
1096.0,0.2890625,,full,,,seed,44.0
1112.0,0.4109375,,full,,,seed,44.0
1128.0,0.3813775510204081,,full,,,seed,44.0
1144.0,0.4375,,full,,,seed,44.0
1160.0,0.45,,full,,,seed,44.0
1176.0,0.4426020408163265,,full,,,seed,44.0
