domain,model,map_id,safe_weighted_coverage,weighted_coverage,safe_rate,return_rate,planning_time_s
未见合成,sa,synthetic_test__map_021,0.5301558957,0.5301558957,1,1,3.772312842
未见合成,sa,synthetic_test__map_022,0.5590391156,0.5590391156,1,1,3.654537138
未见合成,sa,synthetic_test__map_023,0.5735770975,0.5735770975,1,1,4.002522567
未见合成,traditional_ppo,synthetic_test__map_000,0.294872449,0.294872449,1,1,0.7462634489
未见合成,traditional_ppo,synthetic_test__map_001,0.2681972789,0.2681972789,1,1,0.6557470222
未见合成,traditional_ppo,synthetic_test__map_002,0.269696712,0.269696712,1,1,0.7003094556
未见合成,traditional_ppo,synthetic_test__map_003,0.2355725624,0.2355725624,1,1,0.7175984244
未见合成,traditional_ppo,synthetic_test__map_004,0.2866326531,0.2866326531,1,1,0.71760348
未见合成,traditional_ppo,synthetic_test__map_005,0.2729591837,0.2729591837,1,1,0.6870036178
未见合成,traditional_ppo,synthetic_test__map_006,0.2435005669,0.2435005669,1,1,0.6316325022
未见合成,traditional_ppo,synthetic_test__map_007,0.2735629252,0.2735629252,1,1,0.7518074956
