aggregation,grid_id,is_first,model,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,35,1.0,full,1,73.91984238824296,0.2,0.1,0.2,0.1,0.05,0.2,0.15
arithmetic,35,1.0,full,1,77.33598198783554,0.2,0.1,0.2,0.1,0.05,0.2,0.15
geometric,35,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.1,0.05,0.2,0.15
arithmetic,35,0.0,traditional_ppo,3,59.42641911936208,0.2,0.1,0.2,0.1,0.05,0.2,0.15
geometric,35,0.0,a2c_pointer,2,72.60808185163367,0.2,0.1,0.2,0.1,0.05,0.2,0.15
arithmetic,35,0.0,a2c_pointer,2,75.64423967547872,0.2,0.1,0.2,0.1,0.05,0.2,0.15
geometric,36,1.0,full,1,71.37314234468893,0.2,0.1,0.2,0.1,0.1,0.1,0.2
arithmetic,36,1.0,full,1,74.78112391840837,0.2,0.1,0.2,0.1,0.1,0.1,0.2
geometric,36,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.1,0.1,0.1,0.2
arithmetic,36,0.0,traditional_ppo,3,52.94336560226874,0.2,0.1,0.2,0.1,0.1,0.1,0.2
geometric,36,0.0,a2c_pointer,2,70.27549572023467,0.2,0.1,0.2,0.1,0.1,0.1,0.2
arithmetic,36,0.0,a2c_pointer,2,73.29549429572782,0.2,0.1,0.2,0.1,0.1,0.1,0.2
geometric,37,1.0,full,1,71.56952692652315,0.2,0.1,0.2,0.1,0.1,0.15,0.15
arithmetic,37,1.0,full,1,75.03914888016004,0.2,0.1,0.2,0.1,0.1,0.15,0.15
geometric,37,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.1,0.1,0.15,0.15
arithmetic,37,0.0,traditional_ppo,3,57.77118923822751,0.2,0.1,0.2,0.1,0.1,0.15,0.15
geometric,37,0.0,a2c_pointer,2,70.50590444378534,0.2,0.1,0.2,0.1,0.1,0.15,0.15
arithmetic,37,0.0,a2c_pointer,2,73.58865013102634,0.2,0.1,0.2,0.1,0.1,0.15,0.15
geometric,38,1.0,full,1,71.76645186433323,0.2,0.1,0.2,0.1,0.1,0.2,0.1
arithmetic,38,1.0,full,1,75.29717384191174,0.2,0.1,0.2,0.1,0.1,0.2,0.1
geometric,38,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.1,0.1,0.2,0.1
arithmetic,38,0.0,traditional_ppo,3,62.599012874186265,0.2,0.1,0.2,0.1,0.1,0.2,0.1
geometric,38,0.0,a2c_pointer,2,70.7370685967975,0.2,0.1,0.2,0.1,0.1,0.2,0.1
arithmetic,38,0.0,a2c_pointer,2,73.88180596632489,0.2,0.1,0.2,0.1,0.1,0.2,0.1
geometric,39,1.0,full,1,69.10380038474271,0.2,0.1,0.2,0.1,0.15,0.05,0.2
arithmetic,39,1.0,full,1,72.48429081073286,0.2,0.1,0.2,0.1,0.15,0.05,0.2
geometric,39,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.1,0.15,0.05,0.2
arithmetic,39,0.0,traditional_ppo,3,51.28813572113417,0.2,0.1,0.2,0.1,0.15,0.05,0.2
geometric,39,0.0,a2c_pointer,2,68.24085225271693,0.2,0.1,0.2,0.1,0.15,0.05,0.2
arithmetic,39,0.0,a2c_pointer,2,71.23990475127545,0.2,0.1,0.2,0.1,0.15,0.05,0.2
geometric,40,1.0,full,1,69.293940828275,0.2,0.1,0.2,0.1,0.15,0.1,0.15
arithmetic,40,1.0,full,1,72.74231577248455,0.2,0.1,0.2,0.1,0.15,0.1,0.15
geometric,40,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.1,0.15,0.1,0.15
arithmetic,40,0.0,traditional_ppo,3,56.11595935709291,0.2,0.1,0.2,0.1,0.15,0.1,0.15
geometric,40,0.0,a2c_pointer,2,68.46459009334566,0.2,0.1,0.2,0.1,0.15,0.1,0.15
arithmetic,40,0.0,a2c_pointer,2,71.53306058657397,0.2,0.1,0.2,0.1,0.15,0.1,0.15
geometric,41,1.0,full,1,69.48460444691584,0.2,0.1,0.2,0.1,0.15,0.15,0.1
arithmetic,41,1.0,full,1,73.00034073423623,0.2,0.1,0.2,0.1,0.15,0.15,0.1
geometric,41,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.1,0.15,0.15,0.1
